scene_id,beat_index,shot_index,asset_path,asset_source,asset_title,query_used,shot_duration_s,narration_duration_s,camera_motion,transition,timeline_start_s,timeline_end_s,verified
5,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene5_1.mp4,cached,cached still,working memory,4.0,13.64,push_in,crossfade,56.82,60.82,True
5,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene5_variant_2.mp4,cached,cached still,working memory,4.0,13.64,pull_out,crossfade,60.82,64.82,True
6,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene6_0.mp4,cached,cached still,EEG delta waves,4.0,10.4,pull_out,fade,66.46,70.46,True
6,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene6_1.mp4,cached,cached still,EEG delta waves,4.0,10.4,pan_right,crossfade,70.46,74.46,True
6,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene6_variant_2.mp4,cached,cached still,EEG delta waves,4.0,10.4,push_in,crossfade,74.46,78.46,True
7,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene7_0.mp4,cached,cached still,"The viewer should see a person sleeping with noticeable eye movements, conveying the REM stage's distinctive features: eye darting, muscle limpness, and vivid dreams.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",4.0,6.92,pull_out,fade,76.86,80.86,True
7,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene7_1.mp4,cached,cached still,REM sleep animation,4.0,6.92,reveal,crossfade,80.86,84.86,True
8,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene8_0.mp4,cached,cached still,"The viewer should see a detailed, almost mechanical visualization of a brain actively refining its neural network—synapses being selectively trimmed—while feeling a sense of purposeful efficiency and wonder at the natural optimization process.. flat-vector documentary illustration, clean geometric shapes, smooth curves, bold flat color fills, deep navy background with high-saturation cyan and orange accents, simple stylized human figures, minimal detail, no text, no gradients, no photorealism",4.0,10.88,pan_right,fade,83.78,87.78,True
8,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene8_1.mp4,cached,cached still,synaptic pruning,4.0,10.88,pull_out,crossfade,87.78,91.78,True
8,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene8_variant_2.mp4,cached,cached still,synaptic pruning,4.0,10.88,push_in,crossfade,91.78,95.78,True
9,0,0,results/why_we_sleep__your_brain_s_night_shift/shots/scene9_0.mp4,cached,cached still,heart health,4.0,11.36,push_in,fade,94.66,98.66,True
9,0,1,results/why_we_sleep__your_brain_s_night_shift/shots/scene9_1.mp4,cached,cached still,heart health,4.0,11.36,reveal,crossfade,98.66,102.66,True
9,0,2,results/why_we_sleep__your_brain_s_night_shift/shots/scene9_variant_2.mp4,cached,cached still,heart health,4.0,11.36,push_in,crossfade,102.66,106.66,True
